n, rho12, rho13, rho14 rho23, rho24, rho34
4 1.000000 0.788507 0.687826 0.788507 0.687826 0.854858
5 1.000000 0.798437 0.706412 0.798437 0.706412 0.873158
7 1.000000 0.811061 0.729834 0.811061 0.729834 0.897320
9 1.000000 0.817018 0.741476 0.817018 0.741476 0.911887
11 1.000000 0.818886 0.746326 0.818886 0.746326 0.921104
13 1.000000 0.818608 0.747687 0.818608 0.747687 0.927376
16 1.000000 0.816450 0.746636 0.816450 0.746636 0.933782
20 1.000000 0.812326 0.742584 0.812326 0.742584 0.939359
23 1.000000 0.809003 0.738874 0.809003 0.738874 0.942392
28 1.000000 0.804074 0.733123 0.804074 0.733123 0.946260
33 1.000000 0.800093 0.728219 0.800093 0.728219 0.948979
38 1.000000 0.796407 0.723515 0.796407 0.723515 0.950678
45 1.000000 0.791191 0.716941 0.791191 0.716941 0.951714
52 1.000000 0.786727 0.711494 0.786727 0.711494 0.951774
60 1.000000 0.783956 0.708275 0.783956 0.708275 0.951299
69 1.000000 0.784261 0.708777 0.784261 0.708777 0.950544
79 1.000000 0.787568 0.712695 0.787568 0.712695 0.949662
91 1.000000 0.793487 0.719358 0.793487 0.719358 0.948536
104 1.000000 0.800972 0.727438 0.800972 0.727438 0.947255
119 1.000000 0.810311 0.737390 0.810311 0.737390 0.945802
135 1.000000 0.820376 0.748112 0.820376 0.748112 0.944311
154 1.000000 0.832084 0.760799 0.832084 0.760799 0.942799
174 1.000000 0.844011 0.774284 0.844011 0.774284 0.941749
198 1.000000 0.857768 0.790891 0.857768 0.790891 0.941338
223 1.000000 0.870893 0.807933 0.870893 0.807933 0.941631
252 1.000000 0.883589 0.825743 0.883589 0.825743 0.942366
285 1.000000 0.894513 0.842406 0.894513 0.842406 0.943118
321 1.000000 0.903130 0.856532 0.903130 0.856532 0.943436
362 1.000000 0.910097 0.868616 0.910097 0.868616 0.943038
407 1.000000 0.914868 0.877762 0.914868 0.877762 0.941688
457 1.000000 0.917193 0.883741 0.917193 0.883741 0.939058
513 1.000000 0.916740 0.886260 0.916740 0.886260 0.934661
575 1.000000 0.913688 0.885968 0.913688 0.885968 0.928250
645 1.000000 0.908572 0.884099 0.908572 0.884099 0.919746
723 1.000000 0.902280 0.881818 0.902280 0.881818 0.909528
809 1.000000 0.895329 0.879531 0.895329 0.879531 0.897752
905 1.000000 0.886970 0.876752 0.886970 0.876752 0.884233
1011 1.000000 0.876888 0.872432 0.876888 0.872432 0.869912
1130 1.000000 0.865232 0.865907 0.865232 0.865907 0.855848
1261 1.000000 0.852970 0.857559 0.852970 0.857559 0.842279
1407 1.000000 0.840638 0.847896 0.840638 0.847896 0.827281
1570 1.000000 0.827005 0.837532 0.827005 0.837532 0.809872
1750 1.000000 0.813070 0.829648 0.813070 0.829648 0.791730
1950 1.000000 0.798389 0.824876 0.798389 0.824876 0.773184
