n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.294822 0.294937 0.470624 0.656230 0.519163 0.409594
5 0.259528 0.254547 0.471648 0.574252 0.479668 0.340554
7 0.218084 0.198056 0.493888 0.455130 0.430719 0.232729
9 0.216198 0.187191 0.544649 0.407786 0.419537 0.190547
11 0.229984 0.199671 0.601484 0.396301 0.422264 0.185615
13 0.250272 0.224611 0.652578 0.405002 0.432050 0.202968
16 0.285015 0.273407 0.712362 0.439610 0.454438 0.251980
20 0.328967 0.342002 0.766335 0.500275 0.488621 0.330915
23 0.358481 0.390333 0.794370 0.547915 0.513984 0.389894
28 0.399665 0.457887 0.827803 0.619293 0.551145 0.474450
33 0.430602 0.506200 0.851351 0.671902 0.579525 0.535785
38 0.454089 0.540815 0.868616 0.712004 0.600713 0.580709
45 0.478488 0.574955 0.885551 0.756128 0.621881 0.626398
52 0.495450 0.597005 0.896723 0.786901 0.635984 0.656527
60 0.509104 0.613138 0.904965 0.811236 0.646985 0.678930
69 0.520481 0.624499 0.910717 0.830259 0.656092 0.695163
79 0.530743 0.632296 0.914480 0.845201 0.664454 0.706782
91 0.541584 0.638023 0.916676 0.858138 0.673856 0.716004
104 0.552438 0.641761 0.917155 0.868433 0.684200 0.723069
119 0.564052 0.644194 0.916117 0.877338 0.696472 0.729309
135 0.575573 0.645601 0.913810 0.884503 0.709754 0.734782
154 0.588434 0.646795 0.910072 0.890822 0.725281 0.740422
174 0.601288 0.648369 0.905463 0.895651 0.740680 0.745771
198 0.615931 0.651273 0.899497 0.899740 0.757245 0.751608
223 0.630357 0.655828 0.893157 0.902654 0.772209 0.757252
252 0.646308 0.663130 0.886159 0.904916 0.786960 0.763485
285 0.662825 0.672496 0.878804 0.906475 0.800674 0.769862
321 0.678755 0.682564 0.871565 0.907247 0.812814 0.775801
362 0.694579 0.693056 0.864258 0.907277 0.824213 0.781368
407 0.709046 0.702722 0.857170 0.906618 0.834389 0.786086
457 0.721828 0.711135 0.850045 0.905283 0.843424 0.789918
513 0.733242 0.718593 0.842606 0.903370 0.851847 0.793434
575 0.743157 0.724694 0.834982 0.900898 0.859574 0.796458
645 0.752009 0.729373 0.827263 0.897821 0.866618 0.798680
723 0.759669 0.732384 0.819650 0.894202 0.872731 0.799883
809 0.765950 0.733495 0.812296 0.890229 0.877795 0.800136
905 0.771451 0.733248 0.805553 0.886312 0.882192 0.800121
1011 0.777088 0.732862 0.800413 0.883329 0.886211 0.800976
1130 0.784162 0.734187 0.797862 0.882284 0.890088 0.804199
1261 0.793450 0.738637 0.798760 0.884045 0.894427 0.810919
1407 0.805185 0.746731 0.804285 0.889092 0.899647 0.821786
1570 0.818656 0.758782 0.814285 0.896893 0.905442 0.836386
1750 0.832925 0.774356 0.827536 0.905923 0.911153 0.852011
1950 0.847144 0.793148 0.842927 0.914866 0.916549 0.866631
