n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.751258 0.633815 0.508535 0.444795 0.484812 0.736859
5 0.774197 0.633556 0.515966 0.442691 0.484299 0.736962
7 0.815389 0.642122 0.538840 0.454957 0.495640 0.743454
9 0.845665 0.656624 0.566301 0.476887 0.516324 0.755737
11 0.867080 0.672771 0.593915 0.501369 0.540433 0.770375
13 0.882789 0.689367 0.620311 0.526153 0.565206 0.785240
16 0.899756 0.713515 0.656301 0.561651 0.600450 0.806070
20 0.914912 0.741592 0.695846 0.602265 0.640206 0.829692
23 0.922877 0.758454 0.718717 0.626717 0.663615 0.843883
28 0.932236 0.779601 0.746277 0.657920 0.692407 0.861470
33 0.938509 0.794681 0.765011 0.680655 0.712425 0.873608
38 0.942835 0.805543 0.778096 0.697390 0.726635 0.882229
45 0.946799 0.815827 0.790104 0.713867 0.740095 0.890299
52 0.949191 0.822301 0.797465 0.724962 0.748840 0.895277
60 0.950710 0.826713 0.802517 0.733394 0.755378 0.898716
69 0.951495 0.829468 0.805714 0.739670 0.760123 0.900942
79 0.951695 0.831145 0.807602 0.744524 0.763613 0.902260
91 0.951335 0.832170 0.808635 0.748615 0.766348 0.902836
104 0.950383 0.832506 0.808854 0.751433 0.768085 0.902591
119 0.948632 0.832115 0.808171 0.752841 0.768706 0.901493
135 0.946092 0.831028 0.806436 0.752612 0.767824 0.899680
154 0.942401 0.828986 0.803092 0.750669 0.764830 0.896979
174 0.937983 0.826058 0.798345 0.747189 0.759797 0.893800
198 0.932288 0.821601 0.791632 0.741545 0.752099 0.889876
223 0.926214 0.815971 0.783902 0.734422 0.742961 0.885657
252 0.919138 0.807952 0.773944 0.724671 0.731195 0.880381
285 0.911284 0.796979 0.761822 0.712280 0.717088 0.874071
321 0.903038 0.783180 0.748423 0.697821 0.701878 0.867189
362 0.894173 0.765931 0.733390 0.680781 0.685404 0.859595
407 0.885311 0.746140 0.717670 0.661795 0.668614 0.851821
457 0.876742 0.723983 0.701801 0.640611 0.651647 0.844471
513 0.869105 0.699708 0.686473 0.617546 0.634753 0.838593
575 0.863114 0.673022 0.671499 0.592990 0.618235 0.834255
645 0.859159 0.642772 0.655831 0.566691 0.601690 0.830334
723 0.857104 0.609499 0.638878 0.538835 0.584474 0.825633
809 0.856640 0.574178 0.620699 0.509768 0.565853 0.820033
905 0.857446 0.538535 0.602174 0.480566 0.546079 0.813916
1011 0.859217 0.506286 0.585321 0.453927 0.526672 0.808606
1130 0.861993 0.479234 0.570937 0.431240 0.508515 0.804917
1261 0.865433 0.459312 0.558720 0.415140 0.493110 0.803689
1407 0.868672 0.446574 0.547303 0.405987 0.480232 0.805444
1570 0.870124 0.440561 0.535545 0.402309 0.468031 0.809180
1750 0.869519 0.442740 0.527094 0.404287 0.459132 0.813100
1950 0.867088 0.456058 0.528013 0.413080 0.457998 0.816509
