n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.571570 0.428520 0.753411 0.658082 0.701524 0.419240
5 0.589107 0.458767 0.756227 0.714720 0.697480 0.442976
7 0.624137 0.521602 0.768906 0.798466 0.703610 0.496573
9 0.659840 0.577697 0.786479 0.850116 0.721936 0.547138
11 0.694134 0.623955 0.806800 0.881399 0.744258 0.589688
13 0.724284 0.660800 0.826973 0.900739 0.765824 0.624016
16 0.761054 0.702498 0.853633 0.917907 0.793363 0.663308
20 0.796601 0.739904 0.880756 0.930262 0.820447 0.699406
23 0.815067 0.758039 0.895218 0.935669 0.834371 0.717420
28 0.834980 0.775903 0.911166 0.941070 0.848840 0.735765
33 0.846344 0.784270 0.920924 0.943935 0.856419 0.744830
38 0.852529 0.786912 0.927265 0.945265 0.859771 0.747992
45 0.855979 0.784952 0.932785 0.945503 0.860103 0.746095
52 0.856088 0.779416 0.935897 0.944535 0.857664 0.739908
60 0.854305 0.771092 0.937661 0.942541 0.853416 0.730290
69 0.851256 0.760811 0.938172 0.939633 0.848099 0.718258
79 0.847420 0.749360 0.937581 0.935979 0.842445 0.704970
91 0.842852 0.736387 0.935929 0.931375 0.836641 0.690312
104 0.838430 0.723736 0.933621 0.926360 0.831710 0.676387
119 0.834315 0.711158 0.930963 0.920708 0.827664 0.662836
135 0.831018 0.699889 0.928399 0.914836 0.824903 0.650812
154 0.828035 0.688407 0.925432 0.907743 0.822928 0.638302
174 0.825390 0.677420 0.921962 0.899835 0.821574 0.625756
198 0.821976 0.664220 0.916967 0.889725 0.819838 0.610147
223 0.817345 0.649241 0.910545 0.878685 0.817101 0.592531
252 0.810665 0.630399 0.901717 0.865762 0.812850 0.571109
285 0.801703 0.607516 0.890636 0.851559 0.806761 0.546098
321 0.790582 0.581285 0.878215 0.836970 0.798505 0.517962
362 0.776772 0.550850 0.864314 0.821351 0.787643 0.485293
407 0.761403 0.518335 0.849884 0.805347 0.775101 0.450039
457 0.745197 0.485095 0.835322 0.789344 0.761374 0.413581
513 0.728245 0.452570 0.820498 0.773513 0.746551 0.377130
575 0.711128 0.422787 0.805743 0.758102 0.731600 0.342838
645 0.694450 0.397428 0.791052 0.743821 0.716364 0.311569
723 0.678685 0.376879 0.776572 0.731220 0.699999 0.282629
809 0.664414 0.361013 0.762686 0.720351 0.682446 0.254947
905 0.652077 0.349263 0.749684 0.710619 0.663478 0.226701
1011 0.641969 0.341826 0.738370 0.701864 0.643377 0.197937
1130 0.633695 0.339904 0.729300 0.695505 0.622229 0.170907
1261 0.627529 0.345921 0.722392 0.694279 0.601156 0.150229
1407 0.622816 0.357559 0.719134 0.698009 0.579917 0.135240
1570 0.616768 0.364160 0.720515 0.702736 0.559035 0.122686
1750 0.606516 0.360986 0.724779 0.705128 0.539599 0.110784
1950 0.588546 0.349759 0.726592 0.703059 0.519774 0.095434
