n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.694634 0.687961 0.419267 0.482777 0.447772 0.577758
5 0.687448 0.678138 0.420553 0.489242 0.444804 0.626320
7 0.692779 0.676515 0.445580 0.515383 0.462926 0.713845
9 0.712281 0.687552 0.481979 0.548700 0.494768 0.778008
11 0.736393 0.703937 0.518445 0.583259 0.530294 0.821790
13 0.760416 0.721987 0.552127 0.616796 0.565236 0.851940
16 0.793368 0.748888 0.596241 0.663277 0.612732 0.881464
20 0.828832 0.780089 0.643238 0.713959 0.663820 0.904943
23 0.849167 0.797883 0.669915 0.742576 0.692677 0.916401
28 0.874093 0.818007 0.701357 0.776063 0.726397 0.929311
33 0.891442 0.830529 0.722055 0.797958 0.748222 0.937780
38 0.903864 0.838820 0.736274 0.812780 0.762836 0.943660
45 0.915905 0.846153 0.749242 0.826154 0.775876 0.949215
52 0.923869 0.850745 0.757501 0.834429 0.783914 0.952909
60 0.929803 0.854298 0.763927 0.840120 0.789489 0.955824
69 0.933943 0.857036 0.768940 0.843474 0.792859 0.958081
79 0.936511 0.859051 0.772630 0.844844 0.794366 0.959773
91 0.937715 0.860334 0.774908 0.844503 0.794187 0.961020
104 0.937664 0.860527 0.775211 0.842771 0.792394 0.961686
119 0.936592 0.859622 0.773561 0.839875 0.789082 0.961802
135 0.934744 0.857915 0.770358 0.836244 0.784674 0.961395
154 0.932064 0.855448 0.765642 0.831654 0.778878 0.960511
174 0.928920 0.852530 0.760267 0.826648 0.772493 0.959367
198 0.924722 0.848513 0.753569 0.820284 0.764553 0.957889
223 0.919669 0.843629 0.746334 0.813051 0.755828 0.956365
252 0.912751 0.837314 0.737961 0.803840 0.745035 0.954774
285 0.903557 0.829708 0.728973 0.792632 0.732212 0.953267
321 0.892087 0.821414 0.720472 0.779832 0.718158 0.951993
362 0.877159 0.812446 0.712616 0.764702 0.702562 0.950891
407 0.858914 0.803257 0.705878 0.747854 0.686146 0.950036
457 0.836406 0.793259 0.699398 0.728617 0.667936 0.949293
513 0.808349 0.781555 0.691845 0.706085 0.646910 0.948433
575 0.774637 0.768278 0.683183 0.680908 0.623707 0.947486
645 0.734542 0.753574 0.673540 0.653337 0.598324 0.946547
723 0.689396 0.737372 0.662781 0.623181 0.570474 0.945774
809 0.640766 0.719401 0.650798 0.589759 0.539971 0.945333
905 0.590120 0.700049 0.638532 0.552641 0.507345 0.945328
1011 0.541087 0.680951 0.627087 0.514780 0.474902 0.945600
1130 0.497179 0.663298 0.616700 0.479235 0.444225 0.945811
1261 0.463670 0.647833 0.608002 0.449111 0.418175 0.946121
1407 0.445127 0.635129 0.600155 0.427111 0.398746 0.946597
1570 0.444599 0.626953 0.593210 0.415317 0.386698 0.946953
1750 0.463711 0.626470 0.589757 0.416964 0.384290 0.947109
1950 0.498134 0.634378 0.591222 0.431918 0.392276 0.946881
