n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.550302 0.527359 0.753857 0.757484 0.693354 0.535744
5 0.535641 0.501423 0.736147 0.765990 0.677378 0.508532
7 0.521757 0.472242 0.716966 0.788066 0.658730 0.479862
9 0.520795 0.463333 0.711284 0.809637 0.649123 0.470058
11 0.524416 0.462048 0.710696 0.827137 0.642306 0.465799
13 0.529903 0.464670 0.712442 0.841094 0.637380 0.464695
16 0.539357 0.472077 0.716466 0.856972 0.633101 0.466778
20 0.551525 0.482476 0.721153 0.871478 0.631295 0.471961
23 0.559215 0.488878 0.723470 0.879099 0.631473 0.476083
28 0.569228 0.496649 0.725591 0.887740 0.633157 0.482279
33 0.576595 0.501425 0.726882 0.892957 0.635570 0.486968
38 0.581734 0.503561 0.727890 0.895945 0.637813 0.489787
45 0.585576 0.502783 0.728865 0.897744 0.639683 0.490656
52 0.586377 0.499015 0.729240 0.897799 0.640000 0.488863
60 0.584800 0.492785 0.728992 0.896584 0.639018 0.484887
69 0.581227 0.485090 0.727894 0.894407 0.636904 0.479355
79 0.576632 0.477070 0.725788 0.891789 0.634089 0.473097
91 0.571373 0.468616 0.722440 0.888333 0.630524 0.465612
104 0.565780 0.460656 0.718048 0.884313 0.626029 0.457443
119 0.559369 0.453020 0.712525 0.879917 0.620190 0.448833
135 0.553213 0.446902 0.707190 0.875816 0.614356 0.441918
154 0.547540 0.442411 0.702460 0.871678 0.609327 0.437562
174 0.543788 0.440501 0.699535 0.867836 0.606748 0.437033
198 0.541798 0.440813 0.698274 0.863490 0.606837 0.440388
223 0.541989 0.442778 0.698896 0.859030 0.609544 0.446411
252 0.543893 0.445414 0.700721 0.853676 0.614194 0.453686
285 0.547072 0.448181 0.702498 0.847440 0.619404 0.460153
321 0.551339 0.451709 0.702722 0.840877 0.624054 0.465195
362 0.556949 0.457068 0.700122 0.833903 0.628256 0.469519
407 0.563056 0.463602 0.694281 0.826976 0.631622 0.472680
457 0.569292 0.470796 0.685161 0.820319 0.634156 0.474832
513 0.575299 0.479257 0.673028 0.814538 0.635821 0.477081
575 0.580165 0.488946 0.659056 0.810199 0.636919 0.480503
645 0.583323 0.498992 0.644855 0.807660 0.637944 0.485943
723 0.584218 0.507345 0.632366 0.807381 0.639017 0.493439
809 0.582493 0.512771 0.623082 0.808844 0.639808 0.502441
905 0.577752 0.515345 0.617445 0.811618 0.640539 0.512543
1011 0.569375 0.515575 0.616162 0.815659 0.639656 0.521719
1130 0.556852 0.514465 0.620397 0.820169 0.635047 0.527792
1261 0.542780 0.513252 0.630734 0.824986 0.626758 0.531244
1407 0.527622 0.510399 0.644470 0.830266 0.613156 0.530511
1570 0.512008 0.503066 0.658561 0.834099 0.592478 0.521140
1750 0.493564 0.485814 0.670145 0.833853 0.561683 0.496692
1950 0.472921 0.459496 0.679444 0.830037 0.520876 0.457245
