n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.535744 0.527359 0.757484 0.753857 0.693354 0.550302
5 0.508532 0.501423 0.765990 0.736147 0.677378 0.535641
7 0.479862 0.472242 0.788066 0.716966 0.658730 0.521757
9 0.470058 0.463333 0.809637 0.711284 0.649123 0.520795
11 0.465799 0.462048 0.827137 0.710696 0.642306 0.524416
13 0.464695 0.464670 0.841094 0.712442 0.637380 0.529903
16 0.466778 0.472077 0.856972 0.716466 0.633101 0.539357
20 0.471961 0.482476 0.871478 0.721153 0.631295 0.551525
23 0.476083 0.488878 0.879099 0.723470 0.631473 0.559215
28 0.482279 0.496649 0.887740 0.725591 0.633157 0.569228
33 0.486968 0.501425 0.892957 0.726882 0.635570 0.576595
38 0.489787 0.503561 0.895945 0.727890 0.637813 0.581734
45 0.490656 0.502783 0.897744 0.728865 0.639683 0.585576
52 0.488863 0.499015 0.897799 0.729240 0.640000 0.586377
60 0.484887 0.492785 0.896584 0.728992 0.639018 0.584800
69 0.479355 0.485090 0.894407 0.727894 0.636904 0.581227
79 0.473097 0.477070 0.891789 0.725788 0.634089 0.576632
91 0.465612 0.468616 0.888333 0.722440 0.630524 0.571373
104 0.457443 0.460656 0.884313 0.718048 0.626029 0.565780
119 0.448833 0.453020 0.879917 0.712525 0.620190 0.559369
135 0.441918 0.446902 0.875816 0.707190 0.614356 0.553213
154 0.437562 0.442411 0.871678 0.702460 0.609327 0.547540
174 0.437033 0.440501 0.867836 0.699535 0.606748 0.543788
198 0.440388 0.440813 0.863490 0.698274 0.606837 0.541798
223 0.446411 0.442778 0.859030 0.698896 0.609544 0.541989
252 0.453686 0.445414 0.853676 0.700721 0.614194 0.543893
285 0.460153 0.448181 0.847440 0.702498 0.619404 0.547072
321 0.465195 0.451709 0.840877 0.702722 0.624054 0.551339
362 0.469519 0.457068 0.833903 0.700122 0.628256 0.556949
407 0.472680 0.463602 0.826976 0.694281 0.631622 0.563056
457 0.474832 0.470796 0.820319 0.685161 0.634156 0.569292
513 0.477081 0.479257 0.814538 0.673028 0.635821 0.575299
575 0.480503 0.488946 0.810199 0.659056 0.636919 0.580165
645 0.485943 0.498992 0.807660 0.644855 0.637944 0.583323
723 0.493439 0.507345 0.807381 0.632366 0.639017 0.584218
809 0.502441 0.512771 0.808844 0.623082 0.639808 0.582493
905 0.512543 0.515345 0.811618 0.617445 0.640539 0.577752
1011 0.521719 0.515575 0.815659 0.616162 0.639656 0.569375
1130 0.527792 0.514465 0.820169 0.620397 0.635047 0.556852
1261 0.531244 0.513252 0.824986 0.630734 0.626758 0.542780
1407 0.530511 0.510399 0.830266 0.644470 0.613156 0.527622
1570 0.521140 0.503066 0.834099 0.658561 0.592478 0.512008
1750 0.496692 0.485814 0.833853 0.670145 0.561683 0.493564
1950 0.457245 0.459496 0.830037 0.679444 0.520876 0.472921
