n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.158132 0.081659 0.226589 0.475176 0.265857 0.025447
5 0.163374 0.070134 0.275841 0.463745 0.279306 -0.000961
7 0.176992 0.056347 0.371177 0.455368 0.301991 -0.036557
9 0.191571 0.050751 0.456424 0.456263 0.319553 -0.055330
11 0.208542 0.052423 0.534853 0.462213 0.336412 -0.061155
13 0.227908 0.061228 0.599434 0.471930 0.352230 -0.054881
16 0.262660 0.087495 0.667084 0.492892 0.377068 -0.024313
20 0.322454 0.145065 0.727518 0.531292 0.420666 0.047902
23 0.373968 0.200950 0.764474 0.565209 0.459972 0.115370
28 0.453537 0.295661 0.814703 0.621204 0.519867 0.222388
33 0.515303 0.373061 0.851830 0.671865 0.564212 0.305949
38 0.566956 0.440926 0.878257 0.721736 0.600917 0.378913
45 0.624245 0.521391 0.903365 0.782340 0.642002 0.463908
52 0.664194 0.578592 0.919467 0.826932 0.670477 0.523451
60 0.697024 0.627027 0.931108 0.864800 0.694250 0.573493
69 0.722386 0.664322 0.939162 0.893503 0.712660 0.611398
79 0.741965 0.693319 0.944463 0.914966 0.727016 0.640360
91 0.757882 0.716928 0.947901 0.931530 0.738809 0.663534
104 0.769290 0.734101 0.949541 0.942803 0.747522 0.680283
119 0.777630 0.747058 0.949895 0.950840 0.754318 0.693082
135 0.782751 0.755467 0.949178 0.955942 0.758937 0.701554
154 0.785498 0.760780 0.947423 0.959310 0.761925 0.707000
174 0.786435 0.763740 0.945009 0.961217 0.763606 0.710146
198 0.788107 0.767742 0.942032 0.962779 0.766208 0.714470
223 0.793060 0.775396 0.939501 0.964519 0.771643 0.722487
252 0.802978 0.788714 0.937655 0.966926 0.781389 0.736161
285 0.816320 0.805794 0.936660 0.969649 0.794203 0.753705
321 0.829430 0.822332 0.936143 0.972011 0.806831 0.770744
362 0.841454 0.837344 0.935743 0.973941 0.818305 0.785992
407 0.851896 0.850247 0.935315 0.975450 0.828066 0.798734
457 0.860039 0.860520 0.934414 0.976512 0.835693 0.808663
513 0.864921 0.867328 0.932520 0.976979 0.840491 0.815070
575 0.866209 0.870332 0.929441 0.976722 0.842180 0.817615
645 0.863251 0.868936 0.924865 0.975539 0.840091 0.815507
723 0.855724 0.862624 0.918790 0.973234 0.833782 0.808008
809 0.843614 0.850951 0.911585 0.969649 0.823323 0.794896
905 0.827665 0.834501 0.904101 0.964744 0.809806 0.777523
1011 0.810007 0.815556 0.897858 0.959017 0.795619 0.759261
1130 0.792279 0.795463 0.893759 0.952952 0.782478 0.742289
1261 0.774550 0.774470 0.891232 0.946768 0.770257 0.726285
1407 0.752933 0.749370 0.888141 0.939929 0.755990 0.707359
1570 0.726593 0.718633 0.883382 0.932486 0.739130 0.683472
1750 0.700188 0.687617 0.877730 0.925548 0.722240 0.658944
1950 0.676682 0.660144 0.871984 0.919269 0.706559 0.635943
