n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.617022 0.581026 0.797293 0.776711 0.719045 0.548826
5 0.624703 0.585167 0.803538 0.796317 0.721376 0.550898
7 0.638668 0.589152 0.822596 0.826603 0.723089 0.553590
9 0.647515 0.587124 0.840783 0.847294 0.720723 0.552033
11 0.651464 0.581376 0.855042 0.861038 0.715687 0.546935
13 0.652603 0.574240 0.865643 0.870468 0.709669 0.540162
16 0.651940 0.563379 0.876563 0.880300 0.700637 0.529423
20 0.648343 0.549425 0.885286 0.889377 0.688859 0.515250
23 0.643844 0.539176 0.888783 0.894529 0.679907 0.504716
28 0.634652 0.523467 0.891381 0.901207 0.665300 0.488406
33 0.625368 0.510452 0.892260 0.906171 0.652169 0.474758
38 0.617199 0.500363 0.893057 0.909882 0.641223 0.464312
45 0.607989 0.489913 0.894979 0.913443 0.629526 0.454145
52 0.600652 0.481967 0.897298 0.915429 0.620777 0.447080
60 0.593803 0.475056 0.899582 0.916306 0.612947 0.441312
69 0.588113 0.469942 0.901758 0.916111 0.606518 0.437392
79 0.584341 0.467440 0.903889 0.914972 0.602291 0.436170
91 0.582995 0.468376 0.906225 0.912689 0.600941 0.438659
104 0.585091 0.473172 0.908676 0.909325 0.603278 0.444830
119 0.590730 0.481573 0.911222 0.904603 0.609502 0.454301
135 0.599157 0.492330 0.913599 0.898908 0.619116 0.465792
154 0.610695 0.506041 0.915895 0.891804 0.632857 0.480234
174 0.623207 0.520191 0.917766 0.884301 0.648454 0.495400
198 0.637326 0.535332 0.919388 0.875384 0.666758 0.512099
223 0.650247 0.548540 0.920448 0.866273 0.684087 0.526843
252 0.663137 0.561310 0.920973 0.855996 0.701675 0.540539
285 0.675893 0.573865 0.920644 0.844468 0.718996 0.552725
321 0.687569 0.584849 0.918958 0.831574 0.734737 0.561732
362 0.697318 0.592241 0.915345 0.816013 0.748037 0.565176
407 0.703936 0.593846 0.909481 0.797634 0.757187 0.560412
457 0.707689 0.589666 0.900969 0.775918 0.762465 0.547011
513 0.709111 0.579870 0.889531 0.750947 0.764376 0.524838
575 0.709571 0.565237 0.875955 0.723281 0.763881 0.494883
645 0.710714 0.547575 0.861609 0.692784 0.762641 0.459665
723 0.714076 0.530847 0.848732 0.661855 0.762887 0.425657
809 0.719824 0.517316 0.838260 0.633603 0.765142 0.397568
905 0.726428 0.504641 0.829171 0.607904 0.768094 0.373861
1011 0.731971 0.490104 0.820682 0.582066 0.770253 0.352933
1130 0.736875 0.476114 0.812484 0.555740 0.772094 0.337494
1261 0.742046 0.465473 0.805340 0.530909 0.773594 0.329008
1407 0.748382 0.455757 0.800052 0.505727 0.775073 0.324143
1570 0.754009 0.443338 0.796100 0.475903 0.775135 0.316925
1750 0.756639 0.429165 0.792256 0.445241 0.775603 0.309736
1950 0.754882 0.409462 0.786948 0.413857 0.776611 0.301326
