n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.797293 0.719045 0.548826 0.617022 0.581026 0.776711
5 0.803538 0.721376 0.550898 0.624703 0.585167 0.796317
7 0.822596 0.723089 0.553590 0.638668 0.589152 0.826603
9 0.840783 0.720723 0.552033 0.647515 0.587124 0.847294
11 0.855042 0.715687 0.546935 0.651464 0.581376 0.861038
13 0.865643 0.709669 0.540162 0.652603 0.574240 0.870468
16 0.876563 0.700637 0.529423 0.651940 0.563379 0.880300
20 0.885286 0.688859 0.515250 0.648343 0.549425 0.889377
23 0.888783 0.679907 0.504716 0.643844 0.539176 0.894529
28 0.891381 0.665300 0.488406 0.634652 0.523467 0.901207
33 0.892260 0.652169 0.474758 0.625368 0.510452 0.906171
38 0.893057 0.641223 0.464312 0.617199 0.500363 0.909882
45 0.894979 0.629526 0.454145 0.607989 0.489913 0.913443
52 0.897298 0.620777 0.447080 0.600652 0.481967 0.915429
60 0.899582 0.612947 0.441312 0.593803 0.475056 0.916306
69 0.901758 0.606518 0.437392 0.588113 0.469942 0.916111
79 0.903889 0.602291 0.436170 0.584341 0.467440 0.914972
91 0.906225 0.600941 0.438659 0.582995 0.468376 0.912689
104 0.908676 0.603278 0.444830 0.585091 0.473172 0.909325
119 0.911222 0.609502 0.454301 0.590730 0.481573 0.904603
135 0.913599 0.619116 0.465792 0.599157 0.492330 0.898908
154 0.915895 0.632857 0.480234 0.610695 0.506041 0.891804
174 0.917766 0.648454 0.495400 0.623207 0.520191 0.884301
198 0.919388 0.666758 0.512099 0.637326 0.535332 0.875384
223 0.920448 0.684087 0.526843 0.650247 0.548540 0.866273
252 0.920973 0.701675 0.540539 0.663137 0.561310 0.855996
285 0.920644 0.718996 0.552725 0.675893 0.573865 0.844468
321 0.918958 0.734737 0.561732 0.687569 0.584849 0.831574
362 0.915345 0.748037 0.565176 0.697318 0.592241 0.816013
407 0.909481 0.757187 0.560412 0.703936 0.593846 0.797634
457 0.900969 0.762465 0.547011 0.707689 0.589666 0.775918
513 0.889531 0.764376 0.524838 0.709111 0.579870 0.750947
575 0.875955 0.763881 0.494883 0.709571 0.565237 0.723281
645 0.861609 0.762641 0.459665 0.710714 0.547575 0.692784
723 0.848732 0.762887 0.425657 0.714076 0.530847 0.661855
809 0.838260 0.765142 0.397568 0.719824 0.517316 0.633603
905 0.829171 0.768094 0.373861 0.726428 0.504641 0.607904
1011 0.820682 0.770253 0.352933 0.731971 0.490104 0.582066
1130 0.812484 0.772094 0.337494 0.736875 0.476114 0.555740
1261 0.805340 0.773594 0.329008 0.742046 0.465473 0.530909
1407 0.800052 0.775073 0.324143 0.748382 0.455757 0.505727
1570 0.796100 0.775135 0.316925 0.754009 0.443338 0.475903
1750 0.792256 0.775603 0.309736 0.756639 0.429165 0.445241
1950 0.786948 0.776611 0.301326 0.754882 0.409462 0.413857
