n col_12 col_13 col_14 col_23 col_24 col_34
4 0.618588 0.527841 0.770023 0.623737 0.759648 0.514526
5 0.631750 0.554861 0.767705 0.660523 0.767004 0.535298
7 0.645061 0.588695 0.765425 0.709604 0.774609 0.560840
9 0.650286 0.604779 0.765674 0.736588 0.777824 0.571167
11 0.653491 0.614391 0.769300 0.753111 0.779717 0.576119
13 0.656940 0.621047 0.776401 0.763117 0.781505 0.579427
16 0.662553 0.626449 0.791241 0.769904 0.784862 0.583267
20 0.666011 0.625276 0.810615 0.771550 0.787817 0.584370
23 0.663753 0.618915 0.820464 0.770603 0.786462 0.580001
28 0.654198 0.602340 0.828757 0.767437 0.778947 0.565537
33 0.643794 0.585494 0.833262 0.765056 0.770062 0.550855
38 0.635480 0.572153 0.837100 0.764230 0.761907 0.539714
45 0.627294 0.559692 0.841739 0.764451 0.751622 0.528704
52 0.620994 0.551955 0.845558 0.764758 0.742218 0.520840
60 0.614222 0.546462 0.848985 0.764384 0.732088 0.514217
69 0.606546 0.542732 0.852102 0.762662 0.721682 0.508859
79 0.597915 0.540118 0.854544 0.758983 0.711689 0.504674
91 0.587719 0.537596 0.855880 0.752215 0.702068 0.501190
104 0.577031 0.534482 0.855700 0.742468 0.694121 0.498494
119 0.566277 0.530809 0.854284 0.729281 0.687627 0.496409
135 0.557041 0.527205 0.852053 0.713919 0.682753 0.494324
154 0.548815 0.523570 0.849191 0.695048 0.678558 0.491409
174 0.542289 0.520590 0.846091 0.675663 0.674784 0.488192
198 0.536553 0.518118 0.842412 0.654328 0.670101 0.484498
223 0.532668 0.516590 0.838953 0.635243 0.664560 0.481021
252 0.530295 0.515543 0.835513 0.617095 0.657359 0.477657
285 0.530045 0.514920 0.832349 0.600469 0.649054 0.474970
321 0.531968 0.514462 0.829790 0.585075 0.640696 0.473155
362 0.535305 0.513622 0.827928 0.569067 0.631922 0.471729
407 0.539112 0.512480 0.826934 0.552825 0.622909 0.470632
457 0.543581 0.512539 0.826856 0.536848 0.614376 0.471233
513 0.549559 0.515579 0.827950 0.522356 0.607756 0.475532
575 0.557648 0.522250 0.830339 0.510789 0.604146 0.484266
645 0.568333 0.532257 0.833773 0.502523 0.604323 0.497380
723 0.580819 0.545061 0.837539 0.498168 0.608123 0.513902
809 0.593551 0.560048 0.840996 0.496797 0.614381 0.531993
905 0.604524 0.576950 0.844073 0.496644 0.621424 0.550282
1011 0.611608 0.594018 0.846713 0.496775 0.627075 0.565952
1130 0.614249 0.610617 0.849162 0.496535 0.630149 0.578734
1261 0.613953 0.626833 0.851547 0.495443 0.630979 0.589448
1407 0.614071 0.643497 0.854220 0.493291 0.632098 0.599362
1570 0.617129 0.658972 0.856374 0.489032 0.636964 0.608852
1750 0.624675 0.671308 0.857393 0.482148 0.648838 0.617257
1950 0.636346 0.681130 0.857154 0.471553 0.665854 0.623797
