n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.849472 0.644527 0.409437 0.533260 0.420202 0.525742
5 0.839030 0.648721 0.416455 0.536922 0.428068 0.555745
7 0.828708 0.657548 0.435807 0.542556 0.445362 0.614688
9 0.828545 0.665360 0.459697 0.548425 0.465315 0.671579
11 0.834451 0.670662 0.481649 0.554945 0.484084 0.720202
13 0.843600 0.673580 0.499341 0.562112 0.500240 0.758024
16 0.858823 0.676404 0.521401 0.574483 0.522436 0.799388
20 0.875336 0.679884 0.546289 0.590072 0.549376 0.835989
23 0.883670 0.682164 0.561291 0.598087 0.566005 0.853544
28 0.892330 0.683727 0.578803 0.603428 0.585564 0.870047
33 0.896966 0.682836 0.590239 0.601911 0.598138 0.877059
38 0.899049 0.680632 0.598477 0.596653 0.606845 0.878470
45 0.899382 0.675573 0.605901 0.584920 0.614429 0.874585
52 0.897543 0.667974 0.609018 0.569186 0.617626 0.866756
60 0.893653 0.656410 0.607867 0.547805 0.616724 0.855702
69 0.888184 0.641885 0.602707 0.522992 0.612338 0.843127
79 0.882070 0.627015 0.595290 0.498676 0.606469 0.830805
91 0.875707 0.613045 0.586668 0.476386 0.600319 0.819171
104 0.870375 0.602520 0.578457 0.460174 0.595047 0.810390
119 0.866108 0.594921 0.570408 0.449779 0.590360 0.804541
135 0.863612 0.590923 0.563157 0.447099 0.586590 0.802628
154 0.862891 0.591261 0.556474 0.454109 0.583892 0.805100
174 0.863550 0.595989 0.551278 0.470017 0.582717 0.811119
198 0.865564 0.605475 0.547836 0.495586 0.583255 0.820150
223 0.868135 0.616990 0.547603 0.522864 0.585637 0.828330
252 0.870093 0.629487 0.551127 0.548013 0.589848 0.833531
285 0.870072 0.641010 0.558659 0.565800 0.595519 0.833865
321 0.868155 0.651136 0.569536 0.576976 0.602054 0.830554
362 0.865243 0.661990 0.584066 0.586853 0.609799 0.825487
407 0.861527 0.673451 0.600513 0.595585 0.617503 0.818827
457 0.856378 0.684297 0.616590 0.600321 0.623021 0.809786
513 0.850265 0.694436 0.630849 0.602427 0.625493 0.799716
575 0.843469 0.703918 0.642677 0.603024 0.625152 0.789454
645 0.835588 0.712992 0.652508 0.601912 0.622787 0.779308
723 0.827179 0.720835 0.659192 0.599827 0.618256 0.770740
809 0.817788 0.725801 0.660957 0.595142 0.610346 0.763630
905 0.807931 0.728247 0.659032 0.588525 0.599907 0.758098
1011 0.798789 0.728967 0.654173 0.581866 0.588827 0.754406
1130 0.791088 0.728445 0.646207 0.577137 0.578846 0.751738
1261 0.785080 0.726299 0.635066 0.574836 0.571766 0.747541
1407 0.779299 0.720416 0.619864 0.572742 0.567242 0.739723
1570 0.771997 0.710233 0.600423 0.569403 0.564332 0.726417
1750 0.762493 0.696383 0.578399 0.564880 0.562812 0.710636
1950 0.751726 0.684054 0.559641 0.563785 0.565332 0.696478
