n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.542339 0.687400 0.496639 0.357476 0.394464 0.703616
5 0.594992 0.674198 0.502534 0.362576 0.403631 0.699049
7 0.689234 0.664470 0.520296 0.394536 0.439003 0.704891
9 0.757533 0.669756 0.547521 0.435653 0.483940 0.723565
11 0.803007 0.682448 0.579241 0.473994 0.525398 0.746404
13 0.833401 0.697573 0.609710 0.507095 0.560517 0.768574
16 0.862794 0.720369 0.650723 0.548360 0.603734 0.797955
20 0.886610 0.746630 0.695099 0.590577 0.647045 0.829168
23 0.898336 0.762124 0.720362 0.614643 0.670890 0.846953
28 0.911462 0.780820 0.750369 0.644115 0.698770 0.868993
33 0.919888 0.793287 0.770066 0.664429 0.716838 0.884573
38 0.925569 0.801715 0.782920 0.678704 0.728664 0.895755
45 0.930576 0.809102 0.793184 0.691865 0.738324 0.906450
52 0.933395 0.813321 0.798009 0.699785 0.742911 0.913356
60 0.935009 0.816021 0.800104 0.704965 0.744544 0.918404
69 0.935600 0.817466 0.800130 0.707745 0.743685 0.921854
79 0.935429 0.817920 0.798580 0.708634 0.740878 0.924059
91 0.934700 0.817587 0.795695 0.708044 0.736226 0.925564
104 0.933626 0.816672 0.792200 0.706307 0.730645 0.926539
119 0.932158 0.815129 0.788202 0.703353 0.724112 0.927194
135 0.930382 0.812904 0.784088 0.699236 0.717222 0.927482
154 0.928064 0.809452 0.779155 0.693168 0.708980 0.927293
174 0.925479 0.805054 0.773599 0.685792 0.699984 0.926451
198 0.922310 0.799155 0.766082 0.676244 0.688378 0.924560
223 0.918971 0.792570 0.756774 0.665904 0.674822 0.921487
252 0.915099 0.784469 0.743878 0.653820 0.657118 0.916626
285 0.910768 0.774751 0.727071 0.640345 0.635030 0.909924
321 0.906280 0.763723 0.706963 0.626194 0.609241 0.901832
362 0.901524 0.750874 0.682472 0.610492 0.577781 0.892072
407 0.896353 0.736835 0.654313 0.593203 0.540658 0.880821
457 0.890120 0.722071 0.622778 0.574189 0.497646 0.868062
513 0.882636 0.708075 0.590068 0.555085 0.451276 0.854636
575 0.874211 0.696459 0.559258 0.537900 0.405698 0.841962
645 0.865136 0.687095 0.531255 0.522329 0.362201 0.830993
723 0.855441 0.679044 0.506830 0.506452 0.321186 0.822595
809 0.844916 0.669808 0.484338 0.487336 0.280725 0.816345
905 0.833734 0.658333 0.462973 0.464546 0.240662 0.811896
1011 0.822963 0.646406 0.444691 0.441059 0.204708 0.809571
1130 0.812813 0.635121 0.429962 0.418507 0.174119 0.809071
1261 0.803470 0.624332 0.418614 0.397909 0.149927 0.809169
1407 0.795792 0.614143 0.409235 0.381101 0.133042 0.808260
1570 0.788426 0.604148 0.401092 0.366845 0.122748 0.805912
1750 0.779874 0.594260 0.396066 0.352579 0.119172 0.803040
1950 0.770708 0.587139 0.398283 0.337500 0.123126 0.801006
