n col_12 col_13 col_14 col_23 col_24 col_34
4 0.733701 0.666982 0.507232 0.507809 0.489799 0.779868
5 0.710467 0.647167 0.468129 0.486762 0.451795 0.780524
7 0.686174 0.626028 0.427597 0.469220 0.410882 0.792681
9 0.678997 0.616472 0.413515 0.469291 0.398222 0.808144
11 0.677930 0.610226 0.407333 0.475718 0.396124 0.820946
13 0.679868 0.606413 0.405244 0.485409 0.399439 0.830988
16 0.685346 0.604774 0.407138 0.502518 0.409302 0.842488
20 0.692942 0.606988 0.413505 0.524847 0.424181 0.853471
23 0.697003 0.609885 0.418516 0.539087 0.434031 0.859360
28 0.700910 0.615462 0.425607 0.557686 0.446810 0.865949
33 0.703621 0.621226 0.430455 0.571664 0.455586 0.869532
38 0.706384 0.626451 0.432767 0.582349 0.460896 0.870915
45 0.709981 0.632063 0.432023 0.592936 0.463585 0.870238
52 0.712592 0.635759 0.427915 0.599516 0.462304 0.867458
60 0.714333 0.638357 0.421007 0.603347 0.457747 0.862587
69 0.715101 0.640078 0.411987 0.604549 0.450461 0.855680
79 0.714988 0.641268 0.401482 0.603672 0.441188 0.846830
91 0.714307 0.642447 0.389276 0.601165 0.429783 0.835219
104 0.713615 0.644023 0.377460 0.597943 0.418090 0.821984
119 0.713180 0.646610 0.366242 0.594701 0.406139 0.806355
135 0.713049 0.650454 0.357479 0.592652 0.395771 0.789690
154 0.712900 0.656245 0.351210 0.592253 0.386932 0.770491
174 0.712039 0.662752 0.347776 0.593171 0.380372 0.751333
198 0.709246 0.669438 0.344272 0.593848 0.372860 0.729282
223 0.703877 0.674084 0.338407 0.592485 0.362787 0.706511
252 0.694729 0.676357 0.328100 0.588058 0.347940 0.680071
285 0.681500 0.676014 0.313965 0.580509 0.329389 0.651011
321 0.665133 0.673928 0.299519 0.571028 0.310256 0.622557
362 0.645820 0.671611 0.287856 0.560589 0.292092 0.595965
407 0.625416 0.670660 0.281967 0.551177 0.276941 0.574366
457 0.602915 0.671201 0.281759 0.542812 0.264612 0.557988
513 0.576764 0.670687 0.286886 0.533599 0.254944 0.548204
575 0.550259 0.668895 0.295501 0.524522 0.246338 0.544603
645 0.524713 0.666766 0.305787 0.515851 0.236528 0.545172
723 0.500754 0.664292 0.315492 0.506489 0.224471 0.548227
809 0.479304 0.661589 0.323153 0.495811 0.210820 0.552490
905 0.460038 0.659582 0.327849 0.483789 0.196214 0.555808
1011 0.441341 0.657865 0.328503 0.471724 0.182141 0.556040
1130 0.422353 0.655617 0.324540 0.460986 0.170623 0.552525
1261 0.405281 0.652059 0.315462 0.454223 0.162890 0.544989
1407 0.392948 0.646583 0.302298 0.452898 0.158161 0.533078
1570 0.386188 0.636384 0.286213 0.454036 0.153985 0.517279
1750 0.382174 0.618664 0.270602 0.452731 0.150158 0.499887
1950 0.378097 0.594278 0.260762 0.447355 0.149388 0.484536
