n col_12 col_13 col_14 col_23 col_24 col_34
4 0.647175 0.457299 0.285675 0.373014 0.288045 0.432862
5 0.566457 0.413631 0.250972 0.323348 0.255295 0.450627
7 0.458135 0.363498 0.214821 0.253657 0.213913 0.504466
9 0.420752 0.357882 0.218665 0.240563 0.214574 0.577693
11 0.416460 0.369790 0.237584 0.257903 0.237172 0.649665
13 0.430467 0.390274 0.263281 0.291652 0.272155 0.710286
16 0.471910 0.429129 0.308688 0.356069 0.335960 0.776846
20 0.541125 0.483262 0.370296 0.443857 0.420561 0.832791
23 0.591183 0.520530 0.412144 0.502422 0.475934 0.859965
28 0.657042 0.570626 0.468190 0.578471 0.547706 0.889715
33 0.702393 0.605627 0.506921 0.630574 0.596780 0.908390
38 0.736665 0.630326 0.533845 0.668014 0.631557 0.920872
45 0.771820 0.653195 0.558792 0.705348 0.665476 0.932288
52 0.795353 0.666489 0.573649 0.730432 0.687992 0.939577
60 0.813185 0.675352 0.584000 0.749892 0.705420 0.944996
69 0.826560 0.681813 0.591611 0.764669 0.718576 0.948828
79 0.836583 0.687397 0.597852 0.775739 0.728167 0.951306
91 0.844990 0.693919 0.604540 0.784826 0.735625 0.952731
104 0.851636 0.701418 0.611680 0.791647 0.740720 0.953092
119 0.857242 0.710116 0.619303 0.797081 0.744015 0.952565
135 0.861340 0.718424 0.625658 0.800880 0.745151 0.951301
154 0.864227 0.726121 0.630049 0.803419 0.743887 0.949210
174 0.865473 0.731537 0.631086 0.804424 0.740218 0.946585
198 0.865154 0.734890 0.628329 0.803928 0.733377 0.943088
223 0.863177 0.735628 0.622244 0.801911 0.724164 0.939196
252 0.859281 0.734391 0.613223 0.798450 0.712155 0.934491
285 0.853250 0.732002 0.602907 0.794070 0.698511 0.929098
321 0.845235 0.729504 0.593463 0.789378 0.684881 0.923419
362 0.834835 0.727299 0.585686 0.784333 0.671390 0.917439
407 0.822525 0.725538 0.580741 0.779370 0.659358 0.911626
457 0.808469 0.723516 0.578364 0.774487 0.649045 0.905942
513 0.792908 0.720350 0.577928 0.769451 0.640440 0.900229
575 0.776332 0.715165 0.578464 0.764023 0.633572 0.894446
645 0.758549 0.706966 0.578707 0.757796 0.628195 0.888462
723 0.739390 0.694472 0.576643 0.750287 0.623782 0.882308
809 0.718653 0.676484 0.570064 0.740721 0.619100 0.876010
905 0.696549 0.652599 0.557812 0.728652 0.613400 0.869759
1011 0.674703 0.625106 0.541818 0.715424 0.608156 0.864344
1130 0.653904 0.596052 0.524238 0.701869 0.604502 0.860007
1261 0.635472 0.567741 0.506358 0.688451 0.602105 0.856910
1407 0.620709 0.541809 0.488629 0.675536 0.600647 0.854872
1570 0.612165 0.520510 0.472515 0.664548 0.601352 0.854005
1750 0.612114 0.504693 0.458310 0.657697 0.605014 0.854167
1950 0.619870 0.492732 0.444033 0.656012 0.611011 0.854487
