n col_12 col_13 col_14 col_23 col_24 col_34
4 0.449096 0.347629 0.794893 0.549611 0.595011 0.356778
5 0.465824 0.368328 0.790856 0.606224 0.600725 0.373964
7 0.496350 0.411745 0.793641 0.703602 0.612536 0.412978
9 0.525756 0.454567 0.804751 0.778207 0.624740 0.450772
11 0.554522 0.494111 0.819969 0.830851 0.637217 0.484120
13 0.582092 0.529011 0.836524 0.865956 0.650179 0.513052
16 0.619744 0.573438 0.859716 0.898644 0.670638 0.550875
20 0.659003 0.617590 0.882888 0.922600 0.696130 0.591122
23 0.680021 0.640700 0.894631 0.932885 0.711783 0.613576
28 0.703037 0.665643 0.907210 0.942603 0.731290 0.639465
33 0.716273 0.679418 0.914476 0.947436 0.744403 0.655140
38 0.723886 0.686768 0.918590 0.949704 0.753389 0.664377
45 0.728966 0.691333 0.921244 0.950457 0.761561 0.671210
52 0.729839 0.691996 0.921674 0.949567 0.766111 0.673666
60 0.727898 0.690288 0.920449 0.947556 0.768374 0.673294
69 0.724214 0.687504 0.917946 0.944876 0.768895 0.671142
79 0.719967 0.684982 0.914753 0.941960 0.768385 0.668530
91 0.715832 0.683516 0.911217 0.938871 0.767613 0.666553
104 0.713342 0.683950 0.908228 0.936038 0.767679 0.666431
119 0.713196 0.686632 0.906004 0.933235 0.769128 0.668321
135 0.715346 0.690825 0.905040 0.930527 0.771325 0.671052
154 0.719531 0.696002 0.905363 0.927340 0.773323 0.673042
174 0.724537 0.700596 0.906533 0.923651 0.773926 0.672375
198 0.729237 0.703103 0.908135 0.918379 0.771953 0.666855
223 0.731324 0.701330 0.909252 0.911745 0.767382 0.656446
252 0.729967 0.694280 0.909081 0.902749 0.760596 0.640961
285 0.724729 0.681952 0.907053 0.891332 0.752767 0.622256
321 0.717871 0.667410 0.903803 0.878246 0.745657 0.603773
362 0.711134 0.652482 0.900316 0.863392 0.739714 0.586467
407 0.704410 0.638298 0.897031 0.847670 0.735080 0.571939
457 0.697153 0.624331 0.893615 0.831077 0.731718 0.560209
513 0.689703 0.609532 0.890476 0.813127 0.728929 0.549566
575 0.682219 0.593267 0.888036 0.793908 0.726174 0.538810
645 0.674901 0.574518 0.886293 0.773373 0.723549 0.527114
723 0.668751 0.554090 0.885722 0.751368 0.721784 0.515139
809 0.663569 0.531775 0.885754 0.727244 0.720736 0.502665
905 0.659243 0.507192 0.885643 0.700418 0.720556 0.489530
1011 0.656652 0.481304 0.884741 0.671044 0.722319 0.476596
1130 0.655355 0.454189 0.882417 0.638840 0.726030 0.464035
1261 0.655153 0.428392 0.878046 0.605522 0.731007 0.452165
1407 0.654639 0.403655 0.870836 0.570175 0.735670 0.438745
1570 0.651430 0.380649 0.860586 0.532177 0.737718 0.422932
1750 0.643327 0.362910 0.845957 0.493668 0.735904 0.406742
1950 0.628474 0.351248 0.825897 0.455706 0.729850 0.390346
