n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.746870 0.740466 0.485042 0.538127 0.496758 0.620189
5 0.750568 0.749031 0.503235 0.545698 0.513904 0.649127
7 0.750197 0.758653 0.527312 0.547675 0.531168 0.692431
9 0.744527 0.762327 0.537610 0.539339 0.533099 0.722304
11 0.737396 0.762624 0.538712 0.526981 0.527114 0.742137
13 0.730998 0.761364 0.535205 0.515005 0.518289 0.755080
16 0.725243 0.759103 0.528193 0.503214 0.506223 0.767694
20 0.726091 0.757753 0.521544 0.503023 0.498553 0.779492
23 0.731825 0.757590 0.518719 0.513070 0.499543 0.787514
28 0.745350 0.756554 0.514803 0.540129 0.508698 0.801023
33 0.755610 0.752887 0.509270 0.565442 0.518184 0.813620
38 0.759373 0.747946 0.503556 0.581614 0.523670 0.824194
45 0.759580 0.742230 0.498963 0.597343 0.529508 0.836353
52 0.759744 0.738363 0.497811 0.613312 0.537395 0.846268
60 0.760144 0.736008 0.498885 0.629310 0.546192 0.854907
69 0.761456 0.735902 0.502681 0.644617 0.555769 0.861996
79 0.763841 0.737374 0.508324 0.658740 0.566136 0.867452
91 0.767410 0.740587 0.516599 0.671769 0.577944 0.871824
104 0.772171 0.744972 0.527007 0.683154 0.590603 0.875182
119 0.778019 0.750096 0.539566 0.694491 0.605260 0.878203
135 0.784183 0.755082 0.552598 0.705650 0.620974 0.881041
154 0.791229 0.760361 0.566929 0.718445 0.639490 0.884222
174 0.798192 0.765288 0.580408 0.731727 0.658460 0.887315
198 0.806119 0.770657 0.594161 0.747291 0.679353 0.890429
223 0.813893 0.775986 0.605355 0.762681 0.697864 0.892566
252 0.822195 0.782824 0.615537 0.780154 0.716633 0.893498
285 0.830638 0.791722 0.625357 0.799440 0.735866 0.893291
321 0.838751 0.802659 0.636075 0.819094 0.755157 0.892635
362 0.846777 0.816017 0.648924 0.838952 0.775261 0.891988
407 0.854424 0.830749 0.663175 0.857774 0.795225 0.891645
457 0.861803 0.845853 0.677684 0.875490 0.814349 0.891871
513 0.868725 0.860019 0.690783 0.891687 0.831401 0.892584
575 0.874627 0.872174 0.700926 0.905602 0.845384 0.892967
645 0.879513 0.882221 0.708726 0.917419 0.856949 0.892925
723 0.883266 0.890107 0.714839 0.927062 0.866554 0.892392
809 0.885521 0.895005 0.718507 0.933995 0.873142 0.891516
905 0.885963 0.897351 0.720292 0.938699 0.877346 0.890128
1011 0.884584 0.897447 0.720605 0.941451 0.879828 0.888119
1130 0.881530 0.895452 0.719524 0.942301 0.880780 0.885501
1261 0.877242 0.891557 0.717366 0.941492 0.880504 0.883011
1407 0.872855 0.887061 0.715488 0.940242 0.880164 0.881476
1570 0.870222 0.883935 0.715369 0.939822 0.880793 0.881342
1750 0.869763 0.882188 0.716513 0.940311 0.881727 0.881952
1950 0.868894 0.879887 0.716293 0.940630 0.881855 0.881716
