n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.598680 0.202558 0.182140 0.085302 0.126347 0.170848
5 0.605503 0.224930 0.193337 0.079577 0.122990 0.213772
7 0.620673 0.264672 0.216724 0.076639 0.123694 0.300750
9 0.636384 0.297959 0.238891 0.082884 0.131694 0.381001
11 0.652965 0.329510 0.262734 0.097369 0.147254 0.455756
13 0.670206 0.360009 0.288938 0.119416 0.169833 0.522392
16 0.696382 0.403123 0.331448 0.164204 0.214269 0.601869
20 0.730663 0.458573 0.392879 0.238327 0.286905 0.679203
23 0.755353 0.498449 0.439204 0.296911 0.344617 0.725581
28 0.792446 0.553646 0.505250 0.380940 0.428184 0.786276
33 0.823502 0.593843 0.555198 0.442501 0.489961 0.828783
38 0.849671 0.625114 0.595254 0.490778 0.538897 0.857682
45 0.877796 0.657096 0.637835 0.541137 0.590329 0.884283
52 0.897838 0.678904 0.668008 0.575634 0.625544 0.901206
60 0.914036 0.696961 0.693623 0.604048 0.654746 0.913720
69 0.926664 0.711638 0.714984 0.626943 0.678464 0.922768
79 0.936384 0.724120 0.733241 0.646029 0.698641 0.929084
91 0.944400 0.736071 0.750608 0.663756 0.717884 0.933617
104 0.950404 0.747007 0.766191 0.679361 0.735226 0.936379
119 0.955329 0.757878 0.781379 0.694351 0.752203 0.937999
135 0.959204 0.767708 0.794997 0.707668 0.767605 0.938657
154 0.962757 0.777560 0.808727 0.721061 0.783448 0.938743
174 0.965854 0.786924 0.821704 0.733893 0.798634 0.938666
198 0.969173 0.798303 0.836685 0.749418 0.816182 0.938894
223 0.972294 0.810785 0.851876 0.766248 0.833895 0.939655
252 0.975364 0.825316 0.868227 0.785538 0.852838 0.940975
285 0.978068 0.840495 0.884185 0.805373 0.871142 0.942643
321 0.980208 0.854522 0.898007 0.823527 0.886874 0.944370
362 0.981900 0.867307 0.909767 0.840046 0.900240 0.946106
407 0.983118 0.877739 0.918735 0.853681 0.910477 0.947656
457 0.983895 0.885661 0.925149 0.864329 0.917849 0.948869
513 0.984233 0.891049 0.929379 0.871940 0.922745 0.949492
575 0.984098 0.893448 0.931416 0.875915 0.925169 0.949141
645 0.983395 0.892204 0.931037 0.875479 0.924909 0.947408
723 0.981996 0.886551 0.927928 0.869633 0.921578 0.944069
809 0.979863 0.876515 0.922305 0.858390 0.915417 0.939360
905 0.977131 0.862850 0.914998 0.842675 0.907502 0.933671
1011 0.974162 0.846666 0.907271 0.823748 0.899326 0.927513
1130 0.971247 0.829213 0.900678 0.802961 0.892428 0.920897
1261 0.968539 0.810936 0.895504 0.780879 0.886966 0.913320
1407 0.965553 0.789521 0.889809 0.755013 0.880828 0.903610
1570 0.962004 0.764497 0.883235 0.724577 0.873288 0.891130
1750 0.958957 0.740215 0.878709 0.694270 0.866930 0.877165
1950 0.957613 0.720324 0.877695 0.668074 0.863108 0.862964
