n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.783218 0.675082 0.522575 0.525406 0.505146 0.736635
5 0.786491 0.652417 0.501967 0.486235 0.474203 0.713532
7 0.803035 0.626832 0.482411 0.445085 0.441541 0.687556
9 0.822025 0.614624 0.479752 0.431421 0.433784 0.678012
11 0.838065 0.606736 0.483333 0.426307 0.434977 0.674605
13 0.851123 0.601605 0.490392 0.425748 0.440598 0.674212
16 0.866185 0.598237 0.504475 0.430181 0.452910 0.676046
20 0.879993 0.599111 0.524400 0.440163 0.470218 0.678856
23 0.887011 0.601811 0.537399 0.448349 0.481591 0.680022
28 0.894405 0.607624 0.553507 0.460836 0.496020 0.680387
33 0.898216 0.613650 0.564014 0.470449 0.505228 0.680531
38 0.899726 0.619012 0.570690 0.476767 0.510272 0.681519
45 0.899427 0.624636 0.575692 0.480761 0.512337 0.683743
52 0.897404 0.628050 0.577550 0.480584 0.510761 0.685889
60 0.893786 0.629737 0.577501 0.476862 0.506409 0.687740
69 0.888614 0.629483 0.575890 0.469687 0.499703 0.688741
79 0.882068 0.627589 0.573181 0.459832 0.491361 0.688347
91 0.873778 0.624299 0.569626 0.447366 0.481569 0.686355
104 0.864756 0.620073 0.566099 0.434095 0.472304 0.682974
119 0.854926 0.614441 0.562795 0.419642 0.463969 0.677935
135 0.845691 0.607796 0.560209 0.405979 0.458249 0.671602
154 0.836379 0.599537 0.557870 0.392490 0.455147 0.663148
174 0.827915 0.590983 0.555680 0.381058 0.454777 0.653478
198 0.818180 0.581185 0.552560 0.369083 0.455407 0.641076
223 0.807218 0.571320 0.548352 0.355992 0.454422 0.627826
252 0.793173 0.561021 0.543141 0.339619 0.450124 0.613538
285 0.776602 0.552039 0.538718 0.321777 0.442989 0.600351
321 0.759541 0.545719 0.535972 0.305963 0.434936 0.589524
362 0.742423 0.542218 0.534375 0.293622 0.426969 0.579536
407 0.726222 0.542022 0.534050 0.285740 0.420083 0.569247
457 0.710795 0.544805 0.535256 0.281562 0.414521 0.557408
513 0.696358 0.549944 0.537328 0.280291 0.410259 0.543162
575 0.683150 0.556474 0.538948 0.280922 0.406577 0.526432
645 0.670607 0.564310 0.539554 0.282899 0.402741 0.508111
723 0.658660 0.573030 0.538743 0.284979 0.398415 0.490757
809 0.647391 0.581542 0.536161 0.285414 0.393809 0.476071
905 0.637796 0.588934 0.532017 0.283804 0.391146 0.464420
1011 0.630273 0.594322 0.526400 0.280073 0.391928 0.455077
1130 0.622747 0.597187 0.519318 0.272650 0.395136 0.446583
1261 0.612865 0.597479 0.510550 0.259467 0.397800 0.438745
1407 0.599375 0.596258 0.502148 0.240697 0.401561 0.432504
1570 0.579229 0.594704 0.496621 0.215494 0.407411 0.428348
1750 0.551423 0.593651 0.494197 0.185948 0.413216 0.428810
1950 0.518330 0.592451 0.493437 0.155287 0.416530 0.434417
