n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.401464 0.398553 0.378008 0.767799 0.660209 0.430033
5 0.431440 0.431831 0.426135 0.772033 0.682439 0.455667
7 0.479816 0.480984 0.509210 0.776879 0.716865 0.497876
9 0.512418 0.510362 0.573281 0.777276 0.740875 0.525908
11 0.533691 0.527850 0.620769 0.775402 0.756958 0.541738
13 0.547255 0.538034 0.655278 0.773059 0.767508 0.549905
16 0.558359 0.545305 0.690329 0.771166 0.777549 0.557338
20 0.563390 0.548648 0.717948 0.773797 0.784951 0.567802
23 0.562800 0.549289 0.731049 0.778835 0.786950 0.576994
28 0.555155 0.546874 0.745531 0.787711 0.783941 0.590451
33 0.543290 0.541246 0.755395 0.791993 0.775910 0.597571
38 0.533167 0.535279 0.763221 0.792012 0.767588 0.600209
45 0.525319 0.529880 0.771989 0.790533 0.758860 0.603172
52 0.523097 0.529033 0.778426 0.789708 0.752975 0.607537
60 0.525797 0.531951 0.783872 0.789714 0.750070 0.613746
69 0.532746 0.538137 0.788349 0.791888 0.750102 0.621948
79 0.541855 0.546493 0.791713 0.796211 0.751670 0.631182
91 0.552661 0.557180 0.794502 0.802822 0.753773 0.641522
104 0.564057 0.569655 0.797179 0.811110 0.755750 0.652502
119 0.577182 0.585007 0.800862 0.821044 0.757646 0.665096
135 0.591059 0.601598 0.805947 0.831014 0.759455 0.678162
154 0.607500 0.620823 0.813361 0.841665 0.762037 0.693205
174 0.624912 0.639900 0.821910 0.851391 0.765816 0.708279
198 0.645725 0.661019 0.831900 0.861454 0.772029 0.725285
223 0.666570 0.681116 0.840951 0.870437 0.780074 0.741718
252 0.688788 0.702120 0.849285 0.879270 0.790468 0.759094
285 0.710649 0.722712 0.856265 0.887496 0.802140 0.776324
321 0.730004 0.741138 0.861606 0.894654 0.813429 0.792154
362 0.747213 0.758626 0.866241 0.900879 0.824233 0.807876
407 0.761570 0.774916 0.870396 0.906093 0.834136 0.823263
457 0.773440 0.790473 0.874194 0.910789 0.843101 0.838304
513 0.782951 0.805388 0.877746 0.915144 0.850878 0.852778
575 0.789886 0.819181 0.880890 0.918972 0.857079 0.866026
645 0.794200 0.831440 0.883328 0.922178 0.861686 0.877776
723 0.795443 0.841008 0.884448 0.924603 0.864531 0.887202
809 0.793233 0.846875 0.883904 0.926104 0.865507 0.893576
905 0.787017 0.848198 0.881358 0.926653 0.864733 0.896554
1011 0.777091 0.844713 0.876781 0.926335 0.862907 0.896408
1130 0.764178 0.836936 0.870369 0.925255 0.860527 0.893915
1261 0.749465 0.825946 0.862603 0.923575 0.857666 0.890011
1407 0.734695 0.813726 0.854468 0.921435 0.854674 0.885805
1570 0.724303 0.804378 0.848513 0.919394 0.852218 0.882569
1750 0.719264 0.798534 0.844683 0.917056 0.849472 0.879202
1950 0.715739 0.793620 0.841570 0.914124 0.845637 0.874842
