n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.432862 0.457299 0.373014 0.285675 0.288045 0.647175
5 0.450627 0.413631 0.323348 0.250972 0.255295 0.566457
7 0.504466 0.363498 0.253657 0.214821 0.213913 0.458135
9 0.577693 0.357882 0.240563 0.218665 0.214574 0.420752
11 0.649665 0.369790 0.257903 0.237584 0.237172 0.416460
13 0.710286 0.390274 0.291652 0.263281 0.272155 0.430467
16 0.776846 0.429129 0.356069 0.308688 0.335960 0.471910
20 0.832791 0.483262 0.443857 0.370296 0.420561 0.541125
23 0.859965 0.520530 0.502422 0.412144 0.475934 0.591183
28 0.889715 0.570626 0.578471 0.468190 0.547706 0.657042
33 0.908390 0.605627 0.630574 0.506921 0.596780 0.702393
38 0.920872 0.630326 0.668014 0.533845 0.631557 0.736665
45 0.932288 0.653195 0.705348 0.558792 0.665476 0.771820
52 0.939577 0.666489 0.730432 0.573649 0.687992 0.795353
60 0.944996 0.675352 0.749892 0.584000 0.705420 0.813185
69 0.948828 0.681813 0.764669 0.591611 0.718576 0.826560
79 0.951306 0.687397 0.775739 0.597852 0.728167 0.836583
91 0.952731 0.693919 0.784826 0.604540 0.735625 0.844990
104 0.953092 0.701418 0.791647 0.611680 0.740720 0.851636
119 0.952565 0.710116 0.797081 0.619303 0.744015 0.857242
135 0.951301 0.718424 0.800880 0.625658 0.745151 0.861340
154 0.949210 0.726121 0.803419 0.630049 0.743887 0.864227
174 0.946585 0.731537 0.804424 0.631086 0.740218 0.865473
198 0.943088 0.734890 0.803928 0.628329 0.733377 0.865154
223 0.939196 0.735628 0.801911 0.622244 0.724164 0.863177
252 0.934491 0.734391 0.798450 0.613223 0.712155 0.859281
285 0.929098 0.732002 0.794070 0.602907 0.698511 0.853250
321 0.923419 0.729504 0.789378 0.593463 0.684881 0.845235
362 0.917439 0.727299 0.784333 0.585686 0.671390 0.834835
407 0.911626 0.725538 0.779370 0.580741 0.659358 0.822525
457 0.905942 0.723516 0.774487 0.578364 0.649045 0.808469
513 0.900229 0.720350 0.769451 0.577928 0.640440 0.792908
575 0.894446 0.715165 0.764023 0.578464 0.633572 0.776332
645 0.888462 0.706966 0.757796 0.578707 0.628195 0.758549
723 0.882308 0.694472 0.750287 0.576643 0.623782 0.739390
809 0.876010 0.676484 0.740721 0.570064 0.619100 0.718653
905 0.869759 0.652599 0.728652 0.557812 0.613400 0.696549
1011 0.864344 0.625106 0.715424 0.541818 0.608156 0.674703
1130 0.860007 0.596052 0.701869 0.524238 0.604502 0.653904
1261 0.856910 0.567741 0.688451 0.506358 0.602105 0.635472
1407 0.854872 0.541809 0.675536 0.488629 0.600647 0.620709
1570 0.854005 0.520510 0.664548 0.472515 0.601352 0.612165
1750 0.854167 0.504693 0.657697 0.458310 0.605014 0.612114
1950 0.854487 0.492732 0.656012 0.444033 0.611011 0.619870
